registro,codigo
D1001,19404
D1001,55003
D1001,19723
D1001,33611
D1001,36190
D1001,74572
D1001,86647
D1001,20449
D1001,17500
D1002,45333
D1002,89169
D1002,19723
D1002,52361
D1002,17500
D1002,20748
D1002,40056
D1003,36190
D1003,61683
D1003,49288
D1003,37902
D1003,30855
D1003,52361
D1003,19404
D1004,87853
D1004,33611
D1004,20748
D1005,32549
D1005,52361
D1005,89169
D1005,26492
D1006,19723
D1006,37902
D1006,98684
D1006,48902
D1006,34263
D1006,17385
D1006,74572
D1006,23149
D1006,86647
D1006,52361
D1007,86647
D1007,98684
D1007,52361
D1007,40056
D1008,40056
D1008,20449
D1008,12500
D1008,19362
D1008,17685
D1008,26492
D1009,52361
D1009,74572
D1009,26492
D1010,32549
D1010,17385
D1010,17685
D1011,74572
D1011,41727
D1011,30855
D1011,89169
D1012,52361
D1012,20748
D1012,20450
D1012,87853
D1013,40056
D1013,20450
D1013,14966
D1013,74572
D1013,17385
D1013,17685
D1013,89169
D1013,23149
D1013,37902
D1013,48902
D1014,62575
D1014,89169
D1014,17385
D1014,20449
D1014,37902
D1015,37902
D1015,32549
D1015,87853
D1015,20748
D1015,26492
D1015,95681
D1015,20450
D1015,14966
D1015,86647
D1015,61683
D1016,34263
D1016,31861
D1016,89169
D1016,19404
D1016,14966
D1016,74572
D1016,20748
D1017,31946
D1017,37902
D1017,49288
D1017,95681
D1017,74572
D1017,30855
D1017,17500
D1017,98684
D1017,53844
D1018,17500
D1018,23149
D1018,31946
D1019,34263
D1019,33611
D1019,98684
D1019,32549
D1019,87853
D1020,31861
D1020,52361
D1020,45333
D1020,19362
D1020,53844
D1020,23149
D1020,49288
D1020,32549
D1021,19404
D1021,26492
D1021,87853
D1021,61683
D1021,31946
D1022,61683
D1022,20449
D1022,48902
D1022,31861
D1022,37902
D1022,62575
D1022,55003
D1022,20748
D1023,49288
D1023,17385
D1023,95681
D1023,74572
D1023,86647
D1024,61683
D1024,31946
D1024,45333
D1024,20748
D1024,12500
D1024,19723
D1024,95681
D1024,19362
D1024,14966
D1024,74572
D1025,12500
D1025,20748
D1025,19361
D1025,31946
D1025,17685
D1025,98684
D1025,19404
D1026,19362
D1026,12500
D1026,49288
D1026,33611
D1026,52361
D1026,62575
D1027,20449
D1027,53844
D1027,41727
D1027,98620
D1027,87853
D1027,55003
D1027,17385
D1027,52361
D1027,33611
D1028,17385
D1028,26492
D1028,74572
D1029,20450
D1029,23149
D1029,20748
D1029,86647
D1029,32549
D1029,36190
D1030,45333
D1030,30855
D1030,61683
D1030,34263
D1030,17685
D1030,33611
D1030,89169
D1030,48902
D1030,49288
D1035,19361
D1032,19361
D1033,41727
D1019,98620
D1034,98620
